model,tahun,harga,transmisi,jarak_tempuh,bahan_bakar,pajak,mpg,ukuran_mesin,Kategori_Mesin
Daihatsi Ayla R,2018,114000000,0,75285,0,2000000,29.5,1.2,Kecil
Honda HRV S,2016,200000000,0,59625,0,2500000,22.0,1.5,Kecil
Toyota Avanza G,2004,50000000,0,105000,0,2800000,23.0,1.3,Kecil
Daihatsu Ayla X,2013,60000000,1,120500,0,1371000,22.0,1.0,Kecil
Toyota Agya G,2015,75000000,0,112000,0,1371000,20.0,1.0,Kecil
Daihatsu Sigra R,2018,135650000,0,75000,0,2000000,25.0,1.2,Kecil
Daihatsu Sigra R,2018,135650000,0,75000,0,2000000,25.0,1.2,Kecil
Datsun GO + PANCA A,2016,68000000,0,158000,0,2000000,25.0,1.2,Kecil
Daihatsu Sigra M,2018,118800000,0,50000,0,1371000,28.0,1.0,Kecil
Suzuki Carry STANDAR PU,2012,57000000,0,35000,0,2500000,25.0,1.5,Kecil
Nissan X Trail ,2011,139000000,1,125000,0,4000000,29.5,2.0,Medium
Toyota Sienta V,2017,170000000,0,108000,0,3080000,25.0,1.5,Kecil
Daihatsu Sigra,2018,109900000,1,54960,0,2000000,25.0,1.2,Kecil
Suzuki Carry Futura FD,2013,37000000,0,10000,0,2800000,25.0,1.5,Kecil
Honda Accord VTi,2007,128000000,0,114252,0,4000000,29.5,2.4,Medium
Suzuki Carry Futura ST 150,2014,32000000,0,102580,0,2800000,25.0,1.5,Kecil
Daihatsu Sigra R DLX ,2023,165800000,0,105200,0,2000000,25.0,1.2,Kecil
Daihatsu Sigra ,2018,165800000,0,5000,0,2000000,25.0,1.2,Kecil
Honda BRV E CVT CKD,2017,165000000,0,10000,0,2800000,22.0,1.5,Kecil
Suzuki Carry Mega ,2013,40000000,0,65000,1,2800000,25.0,1.5,Kecil
Honda Freed G83 ,2013,135000000,1,258000,0,2800000,22.0,1.5,Kecil
Suzuki Carry Futura,2011,40000000,0,150000,0,2800000,25.0,1.5,Kecil
Suzuki Mega Carry PU AC PS,2019,83500000,0,96000,0,2800000,25.0,1.5,Kecil
Daiatsu Sigra ,2017,103000000,0,65000,0,2000000,22.0,1.2,Kecil
Nissan Serena Comfort Touring,2006,67500000,1,345121,0,4000000,29.5,2.0,Medium
Toyota Vios ,2007,80000000,0,350000,0,2800000,25.0,1.5,Kecil
Daihatsu Grand Max PS AC PU,2019,121000000,0,10000,0,2800000,22.0,1.5,Kecil
Mitsubishi Colt L 300 ,2019,188000000,0,75000,1,3899000,29.5,2.5,Medium
Mitsubishi T120SS 3-WAY WIDE DECK,2019,109000000,0,75421,0,2800000,25.0,1.5,Kecil
Mitsubishi T120SS T ,2013,109000000,0,150000,1,2800000,25.0,1.5,Kecil
Honda CR-V,2012,5300000,0,24089,0,3200000,29.5,2.0,Medium
Nissan March,2017,185800000,0,27469,0,2000000,22.0,1.2,Kecil
Toyota Etios Valco,2014,150000,0,36248,0,2000000,23.0,1.3,Kecil
Honda Brio,2020,165900000,0,12340,0,2000000,28.0,1.4,Kecil
